text,category,vendor,taxable,grand_total
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Times Internet Media & Ads
Address: Industrial Area, Maharashtra, India
GSTIN: 27XSMFP5408F4Z3 | PAN: XSMFP5408F
State / State Code: Maharashtra (27)

Invoice No: GST/9243/2026
Invoice Date: 20/09/2026
Reverse Charge (RCM): No
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Creative brand design, TVC production & digital banner copywriting retainer
  HSN/SAC: 998362 | Qty: 8 | Rate: INR 12,108.91 | Amount: INR 96,871.28
  Item: Meta Facebook & Instagram sponsored video advertisements campaign
  HSN/SAC: 998361 | Qty: 2 | Rate: INR 25,249.00 | Amount: INR 50,498.00

--------------------------------------------------
Subtotal / Taxable Value: INR 147,369.28
IGST (12%): INR 17,684.31
Total Tax Amount: INR 17,684.31
GRAND TOTAL (INCL. TAX): INR 165,053.59
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000983766 | IFSC: HDFC0001234
Authorized Signatory for Times Internet Media & Ads
==================================================",Marketing & Advertising,Times Internet Media & Ads,147369.28,165053.59
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Neelgagan Paper & Forms
Address: Industrial Area, Maharashtra, India
GSTIN: 27TOOOZ8141L3ZW | PAN: TOOOZ8141L
State / State Code: Maharashtra (27)

Invoice No: TAX/26-27/380
Invoice Date: 26/12/2026
Reverse Charge (RCM): No
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Branded brochures, visiting cards & packaging labels customized printing
  HSN/SAC: 491110 | Qty: 9 | Rate: INR 1,250.45 | Amount: INR 11,254.05
  Item: Ballpoint pens, permanent markers, sticky notes & document binder clips
  HSN/SAC: 960810 | Qty: 1 | Rate: INR 3,800.00 | Amount: INR 3,800.00
  Item: Executive spiral notebooks, desk organizers, staplers & punch machines
  HSN/SAC: 482010 | Qty: 4 | Rate: INR 1,131.00 | Amount: INR 4,524.00

--------------------------------------------------
Subtotal / Taxable Value: INR 19,578.05
CGST (2.5%): INR 489.45
SGST (2.5%): INR 489.45
Total Tax Amount: INR 978.90
GRAND TOTAL (INCL. TAX): INR 20,556.95
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000603144 | IFSC: HDFC0001234
Authorized Signatory for Neelgagan Paper & Forms
==================================================",Office Supplies & Stationery,Neelgagan Paper & Forms,19578.05,20556.95
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Metro Print House
Address: Industrial Area, Haryana, India
GSTIN: 06ROVGG1475X2ZL | PAN: ROVGG1475X
State / State Code: Haryana (06)

Invoice No: BILL/06/99235
Invoice Date: 06/09/2026
Reverse Charge (RCM): No
Place of Supply: Haryana (06)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Executive spiral notebooks, desk organizers, staplers & punch machines
  HSN/SAC: 482010 | Qty: 5 | Rate: INR 1,529.32 | Amount: INR 7,646.60
  Item: Document filing folders, plastic poly pockets & box files 100 pcs
  HSN/SAC: 392610 | Qty: 6 | Rate: INR 568.86 | Amount: INR 3,413.16

--------------------------------------------------
Subtotal / Taxable Value: INR 11,059.76
IGST (18%): INR 1,990.76
Total Tax Amount: INR 1,990.76
GRAND TOTAL (INCL. TAX): INR 13,050.52
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000635219 | IFSC: HDFC0001234
Authorized Signatory for Metro Print House
==================================================",Office Supplies & Stationery,Metro Print House,11059.76,13050.52
"==================================================
tax invoice
==================================================
supplier / vendor: yatra online corporate services
address: industrial area, delhi, india
gstin: 07kktfo2648l4z0 | pan: kktfo2648l
state / state code: delhi (07)

invoice no: bill/07/22466
invoice date: 12/08/2026
reverse charge (rcm): no
place of supply: delhi (07)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: corporate uber for business monthly taxi cab rides employee travel
  hsn/sac: 996412 | qty: 6 | rate: inr 3,177.78 | amount: inr 19,066.68

--------------------------------------------------
subtotal / taxable value: inr 19,066.68
cgst (9.0%): inr 1,716.00
sgst (9.0%): inr 1,716.00
total tax amount: inr 3,432.00
grand total (incl. tax): inr 22,498.68
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000302951 | ifsc: hdfc0001234
authorized signatory for yatra online corporate services
==================================================",Travel & Conveyance,Yatra Online Corporate Services,19066.68,22498.68
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Falcon Office Automation Stationery
Address: Industrial Area, Tamil Nadu, India
GSTIN: 33NNPVR2016S3Z4 | PAN: NNPVR2016S
State / State Code: Tamil Nadu (33)

Invoice No: INV-2026-8603
Invoice Date: 22/05/2026
Reverse Charge (RCM): No
Place of Supply: Tamil Nadu (33)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Ballpoint pens, permanent markers, sticky notes & document binder clips
  HSN/SAC: 960810 | Qty: 2 | Rate: INR 1,623.86 | Amount: INR 3,247.72

--------------------------------------------------
Subtotal / Taxable Value: INR 3,247.72
CGST (6.0%): INR 194.87
SGST (6.0%): INR 194.87
Total Tax Amount: INR 389.73
GRAND TOTAL (INCL. TAX): INR 3,637.45
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000620012 | IFSC: HDFC0001234
Authorized Signatory for Falcon Office Automation Stationery
==================================================",Office Supplies & Stationery,Falcon Office Automation Stationery,3247.72,3637.45
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: SocialBeat Digital Marketing LLP
Address: Industrial Area, West Bengal, India
GSTIN: 19JFENH8322Z2ZD | PAN: JFENH8322Z
State / State Code: West Bengal (19)

Invoice No: TAX/25-27/499
Invoice Date: 21/03/2026
Reverse Charge (RCM): No
Place of Supply: West Bengal (19)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Meta Facebook & Instagram sponsored video advertisements campaign
  HSN/SAC: 998361 | Qty: 8 | Rate: INR 7,016.46 | Amount: INR 56,131.68

--------------------------------------------------
Subtotal / Taxable Value: INR 56,131.68
IGST (18%): INR 10,103.70
Total Tax Amount: INR 10,103.70
GRAND TOTAL (INCL. TAX): INR 66,235.38
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000712811 | IFSC: HDFC0001234
Authorized Signatory for SocialBeat Digital Marketing LLP
==================================================",Marketing & Advertising,SocialBeat Digital Marketing LLP,56131.68,66235.38
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: InterGlobe Aviation Ltd (IndiGo)
Address: Industrial Area, Haryana, India
GSTIN: 06MLTPN5401I2Z6 | PAN: MLTPN5401I
State / State Code: Haryana (06)

Invoice No: INV-2026-8986
Invoice Date: 08/10/2026
Reverse Charge (RCM): No
Place of Supply: Haryana (06)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Corporate travel agency ticketing booking fee and visa processing fee
  HSN/SAC: 996411 | Qty: 9 | Rate: INR 462.07 | Amount: INR 4,158.63
  Item: Corporate Uber for Business monthly taxi cab rides employee travel
  HSN/SAC: 996412 | Qty: 2 | Rate: INR 10,196.75 | Amount: INR 20,393.50
  Item: Domestic flight tickets Mumbai to Bangalore return business trip 3 pax
  HSN/SAC: 996411 | Qty: 3 | Rate: INR 8,857.66 | Amount: INR 26,572.98

--------------------------------------------------
Subtotal / Taxable Value: INR 51,125.11
IGST (5%): INR 2,556.26
Total Tax Amount: INR 2,556.26
GRAND TOTAL (INCL. TAX): INR 53,681.37
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000759588 | IFSC: HDFC0001234
Authorized Signatory for InterGlobe Aviation Ltd (IndiGo)
==================================================",Travel & Conveyance,InterGlobe Aviation Ltd (IndiGo),51125.11,53681.37
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: SBI General Insurance Co Ltd
Address: Industrial Area, Telangana, India
GSTIN: 36JSPNS9105N3ZH | PAN: JSPNS9105N
State / State Code: Telangana (36)

Invoice No: TAX/25-27/433
Invoice Date: 25/04/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Cyber security risks, data breach and liability insurance cover policy
  HSN/SAC: 997134 | Qty: 10 | Rate: INR 12,054.47 | Amount: INR 120,544.70

--------------------------------------------------
Subtotal / Taxable Value: INR 120,544.70
IGST (18%): INR 21,698.05
Total Tax Amount: INR 21,698.05
GRAND TOTAL (INCL. TAX): INR 142,242.75
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000835119 | IFSC: HDFC0001234
Authorized Signatory for SBI General Insurance Co Ltd
==================================================",Insurance,SBI General Insurance Co Ltd,120544.7,142242.75
"==================================================
original for recipient - tax invoice
==================================================
supplier / vendor: riddhi siddhi resin & adhesive co
address: industrial area, haryana, india
gstin: 06twhdg4151u2zl | pan: twhdg4151u
state / state code: haryana (06)

invoice no: gst/3053/2026
invoice date: 07/10/2026
reverse charge (rcm): no
place of supply: haryana (06)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: copper wire rods 8mm electrolytic tough pitch
  hsn/sac: 7408 | qty: 6 | rate: inr 31,083.07 | amount: inr 186,498.42

--------------------------------------------------
subtotal / taxable value: inr 186,498.42
cgst (14.0%): inr 26,109.78
sgst (14.0%): inr 26,109.78
total tax amount: inr 52,219.56
grand total (incl. tax): inr 238,717.98
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000634166 | ifsc: hdfc0001234
authorized signatory for riddhi siddhi resin & adhesive co
==================================================",Raw Materials,Riddhi Siddhi Resin & Adhesive Co,186498.42,238717.98
"==================================================
GST TAX INVOICE
==================================================
Supplier / Vendor: Supreme Plastic Pellets & Resins
Address: Industrial Area, Maharashtra, India
GSTIN: 27PBYSR3086R2ZG | PAN: PBYSR3086R
State / State Code: Maharashtra (27)

Invoice No: SUP-40211
Invoice Date: 26/07/2026
Reverse Charge (RCM): No
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Cold Rolled Steel Sheets 2.5mm CRCA coils
  HSN/SAC: 7208 | Qty: 6 | Rate: INR 19,668.94 | Amount: INR 118,013.64

--------------------------------------------------
Subtotal / Taxable Value: INR 118,013.64
CGST (9.0%): INR 10,621.23
SGST (9.0%): INR 10,621.23
Total Tax Amount: INR 21,242.46
GRAND TOTAL (INCL. TAX): INR 139,256.10
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000590462 | IFSC: HDFC0001234
Authorized Signatory for Supreme Plastic Pellets & Resins
==================================================",Raw Materials,Supreme Plastic Pellets & Resins,118013.64,139256.1
